Water source,Total unregulated requirement ,Irrigated area,Population,Irrigation value,Mining value,Employment (irrigation),Employment (mining),Total entitlement,Agriculture water use,Mining use,Wetland area,Mean flow,Variation,Median,Days below mean,DSI,100 years flood frequency,Normalized flood exposure,Time below requirement,FUI,Risk to agricultural productivity index,IndexRank
Avon River Water Source,1744,1115037.838,2679,3506623.97,2.353109514,34,19,1744,909.5,79,222135.5525,344.8654441,2.744964236,108.376194,0.792742116,79.09090909,0.007466959,0.500000033,0,0.013854917,0.18,6
Bowman River Water Source,2120,981021.731,2125,2781006.89,1.866186345,27,15,2120,2000.5,0,34177.3998,273.947447,2.744964236,86.08975524,0.792742116,79.09090909,0.007466959,0.500000033,0,0.021201947,0.14,3
Cooplacurripa River Water Source,400,283561.9168,2885,7248687.13,2.49869028,69,20,400,600,0,91348.5107,664.2784223,2.999333537,148.2246901,0.803718545,100,0.002488986,0.166666656,0,0.001649746,0.27,11
Dingo Creek Water Source,4925,404085.0942,5401,6611853.53,4.57892012,65,36,4925,4855,12,45283.6179,1069.868893,3.50365775,205.633867,0.845185056,100,0,0,0,0.012611967,0.24,9
Lower Barnard River Water Source,21369,0,5189,7584840.22,6.983838012,80,58,21369,1349,0,552374.18,60.70737939,10.03067625,0,0.961719392,80.6122449,0.014933917,1,0.8,0.964383672,0.39,15
Lower Barrington / Gloucester Rivers Water Source,11293,4277298.575,2642,3457479.58,2.320131315,33,18,11293,9247,5,1324573.203,340.4775412,2.744964236,106.9972672,0.792742116,79.09090909,0.007466959,0.500000033,0.018181818,0.090871562,0.17,5
Lower Manning River Water Source,20400,2740588.405,5073,6639493.16,4.455412003,64,35,20400,6834,60,2823801.473,2716.186473,2.249951968,630.9487567,0.767678025,76.36363636,0,0,0,0.020576795,0.36,14
Manning Estuary Tributaries Water Source,4213,21286825.64,8750,11430812.66,7.67718032,110,61,4213,2167,84,87489081.78,1505.262802,4.539851083,1.333963718,0.888045399,100,0.002488986,0.166666656,0,0.007668073,0.50,16
Mid Manning River Water Source,991,83343.45852,1654,2165321.19,1.453032301,21,11,991,991,0,421103.7979,887.3302809,2.249951968,206.119846,0.767678025,76.36363636,0,0,0,0.003059817,0.12,2
Myall Creek Water Source,2298,0,595,5376363.63,0.784871099,52,7,2298,0,0,82281.1477,405.9509658,2.351305967,98.31270154,0.774647186,100,0.007466959,0.500000033,0,0.015508992,0.17,4
Nowendoc River Water Source,1274,0,2340,5537140.84,2.030490535,53,16,1274,1166,5,848585.4802,503.4138369,2.999333537,112.329947,0.803718545,100,0.002488986,0.166666656,0,0.006933482,0.18,7
Rowleys River Water Source,277,0,5478,7909207.72,4.173011111,80,33,277,277,0,46470.8583,719.5694855,2.999333537,160.5621384,0.803718545,100,0.002488986,0.166666656,0,0.001054664,0.31,12
Upper Barnard River Water Source,1159,0,2612,8639650.81,9.154827473,89,84,1159,1159,0,219567.6889,232.0704004,3.897729891,29.40746666,0.864126241,100,0.002488986,0.166666656,0,0.013682669,0.35,13
Upper Barrington River Water Source,951,0,5376,7036486.65,4.721813294,67,37,951,916,28,550169.1774,838.8814025,2.53087942,304.8082311,0.79739652,100,0.002488986,0.166666656,0,0.003105897,0.26,10
Upper Gloucester River Water Source,5419,2861407.248,2354,3080737.52,2.067319684,30,16,5419,4949,83,124429.6561,128.3687763,5.795804429,5.281658634,0.918261692,100,0.002488986,0.166666656,0.045454545,0.115655658,0.05,1
Upper Manning River Water Source,2241,90585.39494,3583,5799092.46,6.543384509,66,56,2241,1729,0,75139.7423,295.554231,3.199451482,41.1692534,0.811210394,100,0.002488986,0.166666656,0.009090909,0.020773602,0.20,8
