Water source,Total unregulated requirement ,Irrigated area,Population,Irrigation value ($),Mining value ($M),Employment (irrigation),Employment (mining),Total entitlement,Agriculture water use,Mining water use,Wetland area,Mean flow,Variation,Median,Days below mean,DSI,100 years flood frequency,Normalized flood exposure,Time below requirement,FUI,Irrigation opportunity index,IndexRank
Lower Barnard River Water Source,21369,0,5189,7584840.22,6.98,80,58,21369,1349,0,552374.2,60.7,10,0,0.96,80.61,0.01,1,0.8,0.964,0.018,1
Upper Manning River Water Source,2241,90585.4,3583,5799092.46,6.54,66,56,2241,1729,0,75139.7,295.6,3.2,41.2,0.81,100,0,0.17,0.01,0.021,0.492,2
Myall Creek Water Source,2298,0,595,5376363.63,0.78,52,7,2298,0,0,82281.1,406,2.4,98.3,0.77,100,0.01,0.5,0,0.016,0.492,3
Upper Barnard River Water Source,1159,0,2612,8639650.81,9.15,89,84,1159,1159,0,219567.7,232.1,3.9,29.4,0.86,100,0,0.17,0,0.014,0.493,4
Nowendoc River Water Source,1274,0,2340,5537140.84,2.03,53,16,1274,1166,5,848585.5,503.4,3,112.3,0.8,100,0,0.17,0,0.007,0.497,5
Upper Barrington River Water Source,951,0,5376,7036486.65,4.72,67,37,951,916,28,550169.2,838.9,2.5,304.8,0.8,100,0,0.17,0,0.003,0.498,6
Rowleys River Water Source,277,0,5478,7909207.72,4.17,80,33,277,277,0,46470.9,719.6,3,160.6,0.8,100,0,0.17,0,0.001,0.499,7
Mid Manning River Water Source,991,83343.5,1654,2165321.19,1.45,21,11,991,991,0,421103.8,887.3,2.2,206.1,0.77,76.36,0,0,0,0.003,0.5,8
Dingo Creek Water Source,4925,404085.1,5401,6611853.53,4.58,65,36,4925,4855,12,45283.6,1069.9,3.5,205.6,0.85,100,0,0,0,0.013,0.503,9
Cooplacurripa River Water Source,400,283561.9,2885,7248687.13,2.5,69,20,400,600,0,91348.5,664.3,3,148.2,0.8,100,0,0.17,0,0.002,0.506,10
Upper Gloucester River Water Source,5419,2861407.2,2354,3080737.52,2.07,30,16,5419,4949,83,124429.7,128.4,5.8,5.3,0.92,100,0,0.17,0.05,0.116,0.509,11
Bowman River Water Source,2120,981021.7,2125,2781006.89,1.87,27,15,2120,2000.5,0,34177.4,273.9,2.7,86.1,0.79,79.09,0.01,0.5,0,0.021,0.512,12
Avon River Water Source,1744,1115037.8,2679,3506623.97,2.35,34,19,1744,909.5,79,222135.6,344.9,2.7,108.4,0.79,79.09,0.01,0.5,0,0.014,0.519,13
Lower Manning River Water Source,20400,2740588.4,5073,6639493.16,4.46,64,35,20400,6834,60,2823801.5,2716.2,2.2,630.9,0.77,76.36,0,0,0,0.021,0.554,14
Lower Barrington / Gloucester Rivers Water Source,11293,4277298.6,2642,3457479.58,2.32,33,18,11293,9247,5,1324573.2,340.5,2.7,107,0.79,79.09,0.01,0.5,0.02,0.091,0.555,15
Manning Estuary Tributaries Water Source,4213,21286825.6,8750,11430812.66,7.68,110,61,4213,2167,84,87489081.8,1505.3,4.5,1.3,0.89,100,0,0.17,0,0.008,0.996,16
