catchment,exact_location,town_served,latitude,longitude,postcode,volume_treated(ML),HBT_index,population_served(No),Gross Regional product ($M),WSDI,Risk,Opportunity
Macquarie,BATHURST,BATHURST,-33.4192822,149.5775008,2795,6757,0.14,42231,1963,34,93.4388,110.0241815
Macquarie,NYNGAN,BOGAN,-31.5662057,147.0707349,2825,737,0.45,2906.05,187,60,50.49,37.79735208
Macquarie,BREWARRINA,BREWARRINA,-29.9611741,146.8606479,2839,184,0.48,1629.45,57,30,8.208,5.206535211
Macquarie,MOLONG,CABONNE,-33.0921748,148.8690063,2866,231,0.41,1940.4,772,23,72.7996,17.38576306
Macquarie,Yeoval,CABONNE,-32.75,148.65,2868,49,0.41,304.92,772,23,72.7996,17.38576306
Macquarie,Quambone,COONAMBLE,-30.9368107,147.8409086,2831,34,0.37,170.48,176,30,19.536,14.92931769
Macquarie,JOHN GILBERT,DUBBO,-32.2656911,148.6189231,2830,8223,0.45,41934,2363,55,584.8425,650.1550728
Macquarie,DUCKMALOI,FISHRIVER,-33.8200912,149.9103707,2787,884,0.14,21416,238,44,14.6608,8.485510041
Macquarie,TOTTENHAM,LACHLAN,-32.2449766,147.3554488,2873,10,0.36,744.37,261,37,34.7652,23.4679228
Manning,Bootawa Dam Chlorinator,MIDCSTCC,-31.9237557,152.3682506,2430,7817,0.14,0,2965,60,249.06,278.6871209
Manning,GLOUCESTER,MIDCSTCC,-32.0095585,151.9655011,2422,332,0.14,190.92,2965,60,249.06,278.6871209
Macquarie,GULGONG,MIDWESTERN,-32.35,149.533333,2852,315,0.14,3386.74,1757,53,130.3694,107.9612331
Macquarie,Mudgee,MIDWESTERN,-32.6144566,149.5733291,2850,1648,0.14,16933.7,1757,53,130.3694,107.9612331
Macquarie,RYLSTONE,MIDWESTERN,-32.797121,149.9692936,2849,358,0.14,3870.56,1757,53,130.3694,107.9612331
Macquarie,Narromine,NARROMINE,-32.2320333,148.2393291,2821,1039,1,6822,261,40,104.4,68.28390501
Macquarie,OBERON,OBERON,-33.665617,149.778885,2787,616,0.14,5318,238,44,14.6608,8.485510041
Macquarie,ICELY ROAD,ORANGE,-33.288876,149.119884,2800,4237,0.15,41809,2646,1,3.969,4.638173647
Macquarie,Spring Hill/Lucknow,ORANGE,-33.263953,149.118907,2800,55,0.15,41809,2646,1,3.969,4.638173647
Macquarie,Koralblah(Raw Water),WAKOOL,-31.2532183,146.921099,2000,8,0.51,3987,174,13,11.5362,6.591287585
Macquarie,Carinda,WALGETT,-30.4074179,147.6655114,2831,115,0.35,6791,266,30,27.93,14.12745546
Macquarie,Nevertire,WARREN,-31.6927476,147.8458166,2824,35,1,2871.99,125,40,50,29.80006894
Macquarie,GEURIE,WELLINGTON,-32.202475,148.6310238,2830,120,0.14,8599,273,55,21.021,14.20012223
Macquarie,WELLINGTON,WELLINGTON,-32.5520391,148.9492902,2820,1092,0.14,8599,273,55,21.021,14.20012223
