Water Source,Irrigated Area (Ha),Irrigation Value ($ M),Employment Irrigation,Total Entitlement (ML/year),Mean Flow (ML/year),DSI,FUI,FRI (100 yrs Flood Frequency) (%)
Backwater Boggy Cowal Water Source,12693,71,321,2627,53290,0,0.11,0.93
Bell River Water Source,510,30,258,8136,111325,0.63,0.12,1.4
Bulbodney Grahway Creek Water Source,,59,287,8816,54750,0,0.29,1.17
Burrendong Dam Tributaries Water Source,,23,252,577,146000,1,0,0.7
Campbells River Water Source,160,11,105,2101,83220,1,0.03,0.47
Coolbaggie Creek Water Source,877,16,132,466,24820,0,0.04,0.93
Cooyal Wialdra Creek Water Source,91,7,85,741,28470,0.49,0.06,0.7
Ewenmar Creek Water Source,6160,37,184,65125,33215,0,0.08,0.93
Fish River Water Source,18,10,104,18070.5,93805,1,0.24,0.93
Goolma Creek Water Source,,6,67,0,3650,1,0,0.7
Lawsons Creek Water Source,128,5,68,1496,17155,1,0.19,0.47
Little River Water Source,636,47,397,2270,35405,0.36,0.1,0.93
Lower Bogan River Water Source,1610,31,154,42208,56940,0,1,1.17
Lower Macquarie River Water Source,4395,34,123,48616,84680,0.16,1,1.63
Lower Talbragar River Water Source,567,35,304,2251,34310,0,0.12,1.63
Macquarie River above Burrendong Water Source,544,15,143,25586,206590,0.27,0.16,0.47
Marra Creek Water Source,1777,30,116,311.5,1825,0,0.17,0
Marthaguy Creek Water Source,3290,68,303,7608,74825,0,0.19,1.63
Maryvale Geurie Creek Water Source,1093,10,93,639,10950,0.39,0.09,0.93
Molong Creek Water Source,480,7,60,5616,25550,0.31,0.27,0.23
Piambong Creek Water Source,344,6,79,925,1825,0.02,1,0.7
Pipeclay Creek Water Source,503,2,30,446,6205,0.52,0.19,0.7
Queen Charlottes Vale Evans Plains Creek Water Source,139,10,95,1925,26280,1,0.11,0.23
Summerhill Creek Water Source,197,35,287,11744,70810,0.4,0.2,0.23
Turon Crudine River Water Source,2,11,129,328,106215,1,0,0.93
Upper Bogan River Water Source,3712,134,714,1729,39055,0,0.09,1.17
Upper Cudgegong River Water Source,11,6,77,6451.5,55115,0.57,0.15,0.47
Upper Talbragar River Water Source,394,15,134,370,20075,0,0.03,1.63
Wambangalong Whylandra Creek Water Source,835,15,123,169,16425,1,0.02,0.93
Winburndale Rivulet Water Source,19,9,89,1629,62415,1,0.03,1.17
